Freq,PN
1876.4341719561,-147.2780201852
1905.4607179633,-147.3072749321
1934.936275391,-147.3217266619
1964.8677899935,-147.4082156234
1995.2623149689,-147.4743307409
2026.1270126212,-147.4840689915
2057.4691560478,-147.5570787018
2089.296130854,-147.6294401742
2121.6154368927,-147.7117514661
2154.4346900319,-147.77501524
2187.7616239496,-147.8408268058
2221.6040919558,-147.9127136585
2255.9700688436,-147.9502405244
2290.8676527678,-148.0212736975
2326.3050671536,-147.996247218
2362.2906626345,-148.0256559566
2398.8329190195,-148.0819593269
2435.940447292,-148.1077809423
2473.6219916386,-148.1208672963
2511.8864315096,-148.1799140292
2550.7427837114,-148.2106040678
2590.2002045313,-148.1957739084
2630.2679918954,-148.231340624
2670.955587559,-148.2637904605
2712.272579332,-148.2752427334
2754.2287033382,-148.3423196954
2796.8338463091,-148.4179095069
2840.0980479142,-148.4812500607
2884.0315031266,-148.5126309421
2928.6445646252,-148.5269993983
2973.9477452346,-148.5336097449
3019.951720402,-148.5764377647
3066.6673307132,-148.6713916229
3114.1055844468,-148.7186552468
3162.2776601684,-148.7615536198
3211.1949093648,-148.8101330094
3260.8688591189,-148.8620132596
3311.3112148259,-148.8997297842
3362.5338629516,-148.9281387806
3414.5488738336,-148.9907702851
3467.3685045253,-149.0647144128
3521.0052016845,-149.0732046167
3575.4716045062,-149.1106386468
3630.780547701,-149.123404821
3686.9450645196,-149.1950299312
3743.9783898238,-149.2368818895
3801.8939632056,-149.2763837647
3860.7054321538,-149.2895507607
3920.4266552702,-149.3040792246
3981.071705535,-149.3461332925
4042.6548736235,-149.362459957
4105.1906712731,-149.4243771721
4168.6938347034,-149.4974013261
4233.1793280882,-149.5225976587
4298.6623470823,-149.5620921755
4365.1583224017,-149.5630686113
4432.6829234601,-149.5799218771
4501.2520620613,-149.6399938244
4570.8818961488,-149.6742059431
4641.5888336128,-149.6864532157
4713.3895361574,-149.713087963
4786.3009232264,-149.7181742406
4860.3401759902,-149.7278978582
4935.5247413948,-149.7149508965
5011.8723362727,-149.7279323632
